CODIGO|NOMBRE_UNIVERSIDAD|TIPO_GESTION|DEPARTAMENTO_FILIAL|NOMBRE_FILIAL|CODIGO_CLASE_PROGRAMA|NOMBRE_CLASE_PROGRAMA|NOMBRE_PROGRAMA|ANIO_PERIODO|Cant_Carnes
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|01|SERVICIOS PERSONALES|ADMINISTRACION DE TURISMO|2018|7
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|INGENIERIA DE SEGURIDAD Y SALUD EN TRABAJO|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAESTRIA PROFESIONAL EN PREVENCION DE RIESGOS LABORALES Y AMBIENTALES|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|15|EDUCACIÓN FÍSICA|EDUCACION FISICA|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|19|OTROS PROGRAMAS EN EDUCACIÓN|COMUNICACION SOCIAL|2018|16
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|19|OTROS PROGRAMAS EN EDUCACIÓN|EDUCACION|2018|7
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|19|OTROS PROGRAMAS EN EDUCACIÓN|MAESTRIA EN EDUCACION|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|21|ARTE|ARTE|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|21|ARTE|CONSERVACION Y RESTAURACION|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|22|HUMANIDADES|ANTROPOLOGIA|2018|9
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|22|HUMANIDADES|ARQUEOLOGIA|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|22|HUMANIDADES|HISTORIA|2018|3
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|23|IDIOMAS|LINGÜISTICA|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|23|IDIOMAS|LITERATURA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|CIENCIA POLITICA|2018|15
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|ECONOMIA|2018|13
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|ECONOMIA INTERNACIONAL|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|ECONOMIA PUBLICA|2018|5
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|MAE. EN PSICOLOGIA|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|PSICOLOGIA|2018|15
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|PSICOLOGIA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|SOCIOLOGIA|2018|3
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|32|PERIODISMO E INFORMACIÓN|BIBLIOTECOLOGIA Y C. DE LA INFOR|2018|5
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|41|ADMINISTRACIÓN Y COMERCIO|ADM. DE NEGOCIOS INTERNACIONALES|2018|12
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|41|ADMINISTRACIÓN Y COMERCIO|ADMINISTRACION|2018|24
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|41|ADMINISTRACIÓN Y COMERCIO|AUDITORIA EMPRES. Y SECTOR PUBL.|2018|11
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|41|ADMINISTRACIÓN Y COMERCIO|CONTABILIDAD|2018|30
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|41|ADMINISTRACIÓN Y COMERCIO|GESTION TRIBUTARIA|2018|17
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|41|ADMINISTRACIÓN Y COMERCIO|MAE. EN ADMINISTRACION|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|42|DERECHO|DERECHO|2018|61
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|42|DERECHO|MAE. EN DERECHO|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|51|CIENCIAS BIOLÓGICAS Y AFINES|CIENCIAS BIOLOGICAS|2018|6
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|51|CIENCIAS BIOLÓGICAS Y AFINES|MICROBIOLOGIA Y PARASITOLOGIA|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|52|MEDIO AMBIENTE|INGENIERIA AMBIENTAL|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|FISICA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|GEOGRAFIA|2018|6
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|INGENIERIA GEOGRAFICA|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|INGENIERIA GEOLOGICA|2018|6
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|INGENIERIA QUIMICA|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|MAESTRIA EN GEOLOGIA|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|53|CIENCIAS FÍSICAS Y QUÍMICAS|QUIMICA|2018|5
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|54|MATEMÁTICAS Y ESTADÍSTICA|ESTADISTICA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|54|MATEMÁTICAS Y ESTADÍSTICA|INVESTIGACION OPERATIVA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|61|INFORMÁTICA|COMPUTACION CIENTIFICA|2018|3
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|61|INFORMÁTICA|INGENIERIA DE SISTEMAS|2018|16
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|61|INFORMÁTICA|INGENIERIA DE SOFTWARE|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|61|INFORMÁTICA|INGENIERIA DE TELECOMUNICACIONES|2018|5
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|71|INGENIERÍA Y PROFESIONES AFINES|INGENIERIA ELECTRICA|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|71|INGENIERÍA Y PROFESIONES AFINES|INGENIERIA ELECTRONICA|2018|3
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|71|INGENIERÍA Y PROFESIONES AFINES|INGENIERIA MECANICA DE FLUIDOS|2018|9
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|71|INGENIERÍA Y PROFESIONES AFINES|INGENIERIA METALURGICA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|72|INDUSTRIA Y PRODUCCIÓN|INGENIERIA DE MINAS|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|72|INDUSTRIA Y PRODUCCIÓN|INGENIERIA INDUSTRIAL|2018|17
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|72|INDUSTRIA Y PRODUCCIÓN|INGENIERIA TEXTIL Y CONFECCIONES|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|73|ARQUITECTURA Y CONSTRUCCIÓN|INGENIERIA CIVIL|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|81|AGRICULTURA|INGENIERIA AGROINDUSTRIAL|2018|4
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|84|VETERINARIA|MEDICINA VETERINARIA|2018|3
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|ENFERMERIA|2018|5
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|FARMACIA Y BIOQUIMICA|2018|17
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|GENETICA Y BIOTECNOLOGIA|2018|6
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|MEDICINA HUMANA|2018|30
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|NUTRICION|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|OBSTETRICIA|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|ODONTOLOGIA|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|TECNOLOGIA MEDICA|2018|7
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|91|SALUD|TOXICOLOGIA|2018|2
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO||[NO ESPECIFICADO]|92|BIENESTAR|TRABAJO SOCIAL|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|01|SERVICIOS PERSONALES|ADMINISTRACION DE TURISMO|2018|511
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|INGENIERIA DE SEGURIDAD Y SALUD EN TRABAJO|2018|166
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAE. EN EPIDEMIOLOGIA|2018|8
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAE. EN SALUD PUBLICA|2018|33
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAE. GERENCIA DE SERV. DE SALUD|2018|55
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAE.EN SALUD OCUPACIONAL Y AMBIE|2018|25
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAESTRIA EN GESTIÓN INTEGRADA EN SEGURIDAD, SALUD OCUPACIONAL Y MEDIO AMBIENTE|2018|106
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|MAESTRIA PROFESIONAL EN PREVENCION DE RIESGOS LABORALES Y AMBIENTALES|2018|40
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|S.E. ENFERMERIA EN EMERGENCIA Y D.|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|S.E. ENFERMERIA SALUD PUBLICA|2018|9
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|S.E. MED.EMERGENCIA Y DESASTRES|2018|14
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|S.E. MEDICINA FAMILIAR Y COMUNITARIA|2018|6
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|S.E.MED.ENFERMEDADES INFECCIOSAS Y TROPI|2018|15
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|11|EDUCACIÓN INICIAL Y PRIMARIA|SEGUNDA ESPECIALIDAD EN INTERVENCIÓN TEMPRANA EN NIÑOS CON Y SIN NECESIDADES EDUCATIVAS ESPECIALES|2018|19
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|12|EDUCACIÓN SECUNDARIA|FILOSOFIA|2018|192
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|13|EDUCACIÓN SUPERIOR Y TECNOLÓGICA|MAE. EN DOCENCIA E INVESTIG. EN SALUD|2018|56
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|14|EDUCACIÓN ESPECIAL|S.E.ESTR.EVAL.INTE.DIF.LENG.INF.|2018|36
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|15|EDUCACIÓN FÍSICA|EDUCACION FISICA|2018|605
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|19|OTROS PROGRAMAS EN EDUCACIÓN|COMUNICACION SOCIAL|2018|453
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|19|OTROS PROGRAMAS EN EDUCACIÓN|EDUCACION|2018|1002
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|19|OTROS PROGRAMAS EN EDUCACIÓN|MAESTRIA EN EDUCACION|2018|250
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|19|OTROS PROGRAMAS EN EDUCACIÓN|MAESTRIA EN GESTION DE LA INFORMACION Y DEL CONOCIMIENTO|2018|21
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|21|ARTE|ARTE|2018|191
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|21|ARTE|CONSERVACION Y RESTAURACION|2018|80
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|21|ARTE|DANZA|2018|26
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|21|ARTE|MAE.EN ARTE PERUANO Y LATINOAMER|2018|11
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|ANTROPOLOGIA|2018|284
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|ARQUEOLOGIA|2018|225
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|DOC. EN FILOSOFIA|2018|15
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|HISTORIA|2018|214
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|MAE. EN ANTROPOLOGIA|2018|14
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|MAE. EN ARQUEOLOGIA ANDINA|2018|1
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|MAE. EN FILOSOFIA|2018|18
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PUBLICO|LIMA|UNMSM-SEDE PRINCIPAL|22|HUMANIDADES|MAE. EN HISTORIA|2018|17
